"Project","Province","District","Municipality","Capacity (MW)","River","Lic No","Isuue Date","Validity","Promoter","Address","Longitude","Latitude","License Type"
"Tanchhahara SHP","Province 4","MUSTANG","Thasang","2.4","Tangchhahara","141","4/29/2072","4/28/2107","Tanchhar Hydro Pvt. Ltd.","Phone no 01 4017783 P.O.Box 683, Bansabari Kathmandu","83.59152778","28.67569444","Generation"
"Tara Khola Community (Mini) Hydropower Project","Province 4","MYAGDI","Malika","0.38","Tara Khola","0","3/28/2075","0/1/0","Tara Khola Community Small Hydropower Consumer Committee","Tara-7, Bagling, 9847628615 (Bal B. KC)","83.37777778","28.33402778","Generation"
"Tatopani","Province 4","MYAGDI","Annapurna","2.0","Tatopani","1_gtd","12/6/2051","11/30/2101","Nepal Electricity Authority","0","83.66347222","28.52930556","Operation"
"Tatopani khola HPP","Province 3","DHADING","Rubi Valley","24.3","Tatopani(Ilep) Khola","808","1/15/2074","1/14/2076","Hanuman hydropower pvt ltd","Kathmandu 32 Anam nagar, 4265888, 9851085982","85.08458333","28.25722222","Survey"
"Tawa Khola HPP","Province 1","TAPLEJUNG","Sirijangha","9.96","Tawa Khola, Yamkha Khola, Siwa","748","7/26/2073","7/25/2075","M.A energy venture pvt.ltd.","baluwatar-4,kathmandu,P.O NO 26153 mob 9851026244","87.91527778","27.37861111","Survey"
"Thame Small HPP","Province 1","SOLUKHUMBU","Khumbupasanglahmu","0.63","Thame Khola","0","7/29/2074","0/1/0","Khumbu Bijuli Company Pvt. Ltd.","Pasang lamhu VDC, Solukhumbu, Phone no 038540112","86.66069444","27.82708333","Operation"
"Thapa Khola","Province 4","MUSTANG","Gharapjhong","11.2","Thapa Khola","61","1/26/2069","1/25/2104","Mount Kailash Energy Co. Pvt. Ltd","Tupche -3, Nuwakot ,Tel: 9841832093","83.63","28.72527778","Operation"
"Theule Khola HPP","Province 4","PARBAT","Kushma","1.5","Theule","140","3/28/2072","3/27/2107","Barahi Hydropower Pvt Ltd","Lakeside Pokhra-6, Tel: 061-520872,01-520872","83.62722222","28.17916667","Generation"
"Thoppal Khola","Province 3","DHADING","Siddhalek","1.65","Thoppal","19","3/25/2063","3/24/2098","Thoppal Khola Hydropower Company","0","84.86666667","27.83333333","Operation"
"thosne Khola Tokal Hydroelectric Project","Province 3","LALITPUR","Mahalaxmi","0.922","Thosne","0","1/23/2073","0/1/0","Mahankal Bahuuddeshiya Utpadan samuha Pvt. Ltd (Prem Narayan Ghimire)","Gotikhel 2, Lalitpur Ph No. 01-6207280; 9851087628","85.31958333","27.51861111","Survey"
"Thuli Bheri","Province 6","DOLPA","Mudkechula","121.0","Thuli Bheri","564","0/1/0","0/1/0","GAGE Nepal Pvt Ltd","GPO Box: 2516, Kathmandu","82.66666667","29.0","Survey"
"Thuligad Khola Small HEP","Province 7","DOTI","Badikedar","9.0","Thuli Gad","890","5/14/2074","5/13/2076","Om Power Company Pvt.Ltd.","Chandragiri Municipality-12, Satungal Kathmandu Paresh Dahal, phone no 4316325","80.82541667","28.95513889","Survey"
"Thulo Khola HPP","Province 4","MYAGDI","Raghuganga","4.99","Thulo Khola","945","7/30/2074","7/29/2076","Thulo Khola Hydropower Ltd","Baneshwor Kathmandu","83.52958333","28.59430556","Survey"
"Thulo Khola Hydropower Project","Province 4","MYAGDI","Raghuganga","21.3","Thulo Khola","705","6/15/2072","6/14/2075","Sungava Foundation Pvt. Ltd.","Lalitpur","83.53333333","28.56194444","Survey"
"Tinau","Province 5","RUPANDEHI","Devdaha","1.024","Tinau","1_gtd","12/6/2051","11/30/2101","Nepal Electricity Authority","0","83.4625","27.72777778","Operation"
"Tinau Khola HPP","Province 5","PALPA","Tansen","3.44","Tinau","668","6/1/2070","5/31/2075","Nama Buddha Hydropower Pvt Ltd","PO Box: 5558, Kathmandu, Mobile: 9851034098","83.51833333","27.75694444","Survey"
"Tinekhu Khola SHP","Province 3","DOLAKHA","Gaurishankar","0.99","Tinekhu","0","5/26/2074","0/1/0","Hydro Innovations Pvt. Ltd.","Dhapakhel, Lalitpur, Ph: 01-5250671, 9851025052","86.19666667","27.74291667","Generation"
"Tiplyang Kaligandaki HEP","Province 4","MYAGDI","Raghuganga","58.0","Kali Gandaki","677","12/20/2070","12/19/2075","Tiplyang Kaligandaki Hydropower Pvt. Ltd","Ka. Ma. Na. Pa-28, Kathmandu","83.62416667","28.45805556","Survey"
"Toj Khola HPP","Province 4","LAMJUNG","Marsyangdi","2.3","Toj Khola","960","8/20/2074","8/20/2076","New Star MP Hydropower Pvt. Ltd.","Samakhushi Kathmandu, phone no 9841015940","84.45708333","28.33208333","Survey"
"Tom Dogar HEP ( Budhi gandaki)","Province 4","GORKHA","Chum Nubri","43.52","Budhi Gandaki","984","11/13/2074","11/12/2076","Tom Dogar Hydro pvt. Ltd","Lalitpur- 3, Pulchok","84.86277778","28.49902778","Survey"
"Trishuli","Province 3","NUWAKOT","Suryagadhi","24.0","Trishuli","1_gtd","12/6/2051","11/30/2101","Nepal Electricity Authority","0","85.16611111","27.94638889","Operation"
"Trishuli Galchhi","Province 3","NUWAKOT","Meghang","75.0","Trishuli","174","7/1/2073","6/29/2108","Siddhakali Power Pvt.Ltd","P.O.Box 9106, Kathmandu, Phone 01-5111048, 9851156559Fax 01-4447895","85.02291667","27.82777778","Generation"
"Trishuli Khola","Province 3","RASUWA","Gosaikunda","4.409","Trishuli Khola","958","7/30/2074","7/29/2076","Karuna Chetri Ambika Shah","Kalanki, Kathmandu 9851114574, 9841262907","85.31125","28.11263889","Survey"
"Tungun - Thosne Khola","Province 3","LALITPUR","Konjyosom","4.36","Tugun","84","11/3/2069","11/2/2104","Khani Khola Hydropower Company Ltd","Baluwatar Kathmandu, P.O.Box 8975,Ph 01-4417219","85.31847222","27.49236111","Operation"
"Upper Ankhu Khola","Province 3","DHADING","Gangajamuna","35.0","Ankhu Khola","672","8/14/2070","8/13/2075","Dhading Ankhu Khola Hydro Pvt. Ltd.","Sumargi B. Complex, Babarmahal-11, Kathmandu","85.02916667","28.14166667","Survey"
"Upper Apsuwa HEP","Province 1","SANKHUWASABHA","Makalu","24.6","Apsuwa","1025","4/16/2075","4/15/2077","Ram Janaki Hydropower Pvt. Ltd","Kathmandu","87.17083333","27.57138889","Survey"
"Upper Balefhi","Province 3","SINDHUPALCHOK","Jugal","46.0","Balephi","950","3/2/2065","7/30/2076","Samjhana Acharya","Pawan Nagar 8, Dang","85.79013889","28.00305556","Survey"
"Upper Balephi A","Province 3","SINDHUPALCHOK","Jugal","36.0","Balephi","163","4/12/2073","4/11/2108","Balephi Hydropower Ltd.","Koteshwor 35 Kathamndu; P.O.Box 23189 Kathmandu, Phone 9771 4602073","85.77638889","27.92291667","Generation"
"Upper Barunkhola HEP","Province 1","SANKHUWASABHA","Bhotkhola","55.0","Barun","994","12/25/2074","12/24/2076","Great Hydropower Pvt. Ltd","Kathmanu","87.27708333","27.725","Survey"
"Upper Belkhu Small HPP","Province 3","DHADING","Galchi","0.996","Belkhu","0","10/29/2074","0/1/0","Dariyal Small Hydropower Co. P Ltd.","Battishputali Kathmandu, Ph: 9851079680","84.95083333","27.73486111","Generation"
"Upper Bhotekoshi","Province 3","SINDHUPALCHOK","Bhotekoshi","45.0","Bhote Koshi","5","8/13/2053","7/30/2093","Bhotekoshi Power Company","0","85.93444444","27.92805556","Operation"
"Upper Bhurundi Khola SHP","Province 4","KASKI","Annapurna","3.75","Bhurundi Khola","733","4/7/2073","4/6/2076","Ambe Hydropower Pvt. Ltd","Kathmandu","83.74444444","28.33402778","Survey"
"Upper Bhurundi Khola- A Small HEP","Province 4","KASKI","Annapurna","4.5","Bhurundi","885","5/2/2074","5/2/2076","Niko Energy Pvt. Ltd.","Jain Lama 9851046754","83.74305556","28.35694444","Survey"
"Upper Brahmayeni HEP","Province 3","SINDHUPALCHOK","Jugal","20.07","Nyamya Masal","928","7/12/2074","7/11/2076","Integrated Hydro Fund Nepal Pvt. Ltd","Budhhanagar, Kathmandu, 9851168379 ( Bharat Parajuli)","85.7775","28.08555556","Survey"
"Upper Budhigandaki HEP","Province 4","GORKHA","Chum Nubri","203.0","Budhi Gandaki","965","9/2/2074","9/1/2076","Purnima Developers Group Nepal Pvt. Ltd","Kathmandu","84.89305556","28.40347222","Survey"
"Upper Budhiganga B HPP","Province 7","BAJURA","Gaumul","8.4","Budhi ganga","778","9/20/2073","9/19/2075","Reliable Hydropower Company Pvt. Ltd.","Heritage Plaza II, Kathmandu, PO Box 516, phone 4169116, fax 4169118","81.45388889","29.50944444","Survey"
"Upper Chaku A","Province 3","SINDHUPALCHOK","Bhotekoshi","22.2","Chaku","58","11/12/2068","11/11/2103","Shiva Sri Hydropower Pvt. Ltd","P.O.Box 13860 Kathmandu, Phone 01-4466330,","85.95083333","27.86694444","Generation"
"Upper Chameliya HP","Province 7","DARCHULA","Apihimal","40.0","Chameliya Khola","713","10/17/2072","10/16/2075","Api Power Co. Ltd","Thapathali, Kathmandu, ph 5111037,9801147070","80.80027778","29.76069444","Survey"
"Upper Chauri Khola","Province 3","KABHREPALANCHOK","Chaurideurali","6.0","Chauri","194","1/29/2074","1/28/2109","Himalayan Water Resources & Energy Development Co. P. Ltd","P.O. Box:2919, Tel: 4477000, 4153055, 984382339, email: ghisingbuilders2049@gmail.com","85.84916667","27.58513889","Generation"
"Upper Chhyandi Small HPP","Province 4","LAMJUNG","Dordi","4.0","Chhyangdi","233","2/9/2075","2/8/2110","Chhyandi Hysropower LTD","Gairidhara-2, Kathmandu, 4426483, PO 19380","84.48819444","28.28208333","Generation"
"Upper Chirkuwa Khola","Province 1","SANKHUWASABHA","Khandbari","4.7","Chirkhuwa","185","11/11/2073","11/10/2108","Chirkhuwa Hydropower Company Pvt td","GPO Box: 19387 , Katmandu, phone no 4770297","87.09444444","27.36569444","Generation"
"Upper Daraudi B Small HPP","Province 4","GORKHA","Dharche","8.3","Daraudi","1002","1/10/2075","1/9/2077","Kalika Construction Pvt.Ltd.","Kalika Tower, Baluwatar, Kathmandu 4439152,4439153","84.73541667","28.23666667","Survey"
"Upper Daraudi Hydropower Project","Province 4","GORKHA","Dharche","9.2","Daraudi","797","12/21/2073","12/20/2075","Apaar Bhattarai, Sushila Parajuli Baral","Bhadrapur-11, Jhapa & Pokhara-04, Kaski respectively,9849685070","84.71041667","28.16583333","Survey"
"Upper Daraudi-C HPP","Province 4","GORKHA","Ajirkot","9.82","Daraudi","729","3/24/2073","3/23/2076","Kalika Construction Pvt Ltd","Kalika Tower, Baluwatar, Kathmandu 4439152,4439153 Fax 4439155","84.72916667","28.26263889","Survey"
"Upper Deumai Khola Small HPP","Province 1","ILAM","Deumai","8.3","Deumai","823","2/9/2074","2/8/2076","Uddhav Raj Siwakoti","Suspa Chhemavati 5, Dolakha, 9849848396, 9841618543","87.79305556","26.9375","Survey"
"Upper Dordi A HEP","Province 4","LAMJUNG","Dudhpokhari","25.0","Dordi","121","1/15/2071","1/14/2106","Liberty Energy Hydropower Pvt. Ltd.","Thapathali-11, Kathmandu","84.50625","28.26111111","Generation"
"Upper Dudh Khola HPP","Province 4","MANANG","Nashong","21.16","Dudh Khola","850","3/8/2074","3/7/2076","Carbonless Energy Fund Pvt. Ltd.","Charkhal road, Dillibazar, Ktm. 01-4432864, 01-4432863, info@everestequity.com.np","84.40680556","28.57319444","Survey"
"Upper Gaddi Gad","Province 7","DOTI","Khaptad National Park","1.55","Gaddi Gad","225","11/30/2074","11/29/2109","Shaileshwari Power Nepal","Sukedhara, Kathmandu, Phone no 9851034375, email saileshwori.power.17@gmail.com","81.07013889","29.28388889","Generation"
"Upper Ghatte Khola Small HPP","Province 3","DOLAKHA","Gaurishankar","2.73","Ghatte","937","7/23/2074","7/22/2076","Dolakha Urja Pvt. Ltd","kathmandu, 01-4785772, 9851023270 (Tek Prasad Chaulagai)","86.31208333","27.76597222","Survey"
"Upper Gidi Khola HEP","Province 6","JUMLA","Guthichaur","3.3","Gidi","1015","2/23/2075","2/22/2077","Himal Group of Energy Pvt. Ltd","United World Trade Center, Tripureshwor, Kathmandu, 9851053161 Himal Gurung","82.15694444","29.17069444","Survey"
"Upper Hewa HPP","Province 1","TAPLEJUNG","Maiwakhola","8.5","Hewa Khola","133","1/15/2072","1/14/2107","Upper Hewa Khola Hydropower Company Pvt Ltd","GPO Box: 14165, Kathmandu Tel: 4102757","87.36041667","27.33736111","Generation"
"Upper Hugdi","Province 5","GULMI","Satyawati","5.0","Hugdi","67","4/30/2069","4/29/2104","Ruru Jalbidyut Pariyojana Pvt. Ltd","P.O. Box 8416, Samakhusi, Kathmandu-29, Nepal, Phone: 01-4389703, 4357563 Fax :01-4357563","83.40472222","28.09333333","Operation"
"Upper Idi Khola SHP","Province 4","LAMJUNG","Kwholasothar","0.85","Idi Khola","0","3/22/2072","0/1/0","Annapurna Vidyut Pvt. Ltd.","272 Amarsingh chowk, Pokhara-10, Phone: 061-531546, Mobile: 9851078803","84.11847222","28.25055556","Survey"
"Upper Inkhu Khola HEP","Province 1","SOLUKHUMBU","Dudhkoshi","24.22","Inkhu","954","8/12/2074","8/11/2076","Universal Power Company P. Ltd","Bluestar Compllex Tripureshor, 01-4101097","86.78027778","27.585","Survey"
"Upper Irkhuwa HPP","Province 1","SANKHUWASABHA","Silichong","14.5","Irkhuwa,Phedi","740","6/9/2073","6/8/2075","Aarati Power Company Ltd.","Kathmandu-35,Kotesor. 9851221372","87.045","27.39375","Survey"
"Upper Isuwa","Province 1","SANKHUWASABHA","Makalu","24.3","Isuwa Khola","989","12/12/2074","12/11/2076","Bista Hydropower Pvt. Ltd.","Tangal, Kathmandu, Phone no 4410160","87.1925","27.63625","Survey"
"Upper Jumdi Khola","Province 4","BAGLUNG","Bareng","0.995","Jumdi","0","11/15/2069","0/1/0","Rishikesh Hydropower Pvt. Ltd.","P.O. Box: 3581, Ph: 4412112","83.45875","28.05208333","Generation"
"Upper Junbesi HPP","Province 1","SOLUKHUMBU","Solududhakunda","3.7","Junbeshi","900","5/27/2074","5/26/2076","Gurkhas Himalayan Hydro Pvt. Ltd.","Minbhawan, Kathmandu, Phone no 9851114505","86.54833333","27.59916667","Survey"
"Upper Kabeli HPP","Province 1","TAPLEJUNG","Sidingba","22.9","Kabeli Khola","728","3/24/2073","3/23/2076","Peace Energy Company Pvt. Ltd.","Baluwatar, Bishalnagar-5 Kathmandu 4416285","87.85666667","27.33166667","Survey"
"Upper Kabeli-2HPP","Province 1","TAPLEJUNG","Sidingba","9.6","Kabeli Khola","794","12/8/2073","12/7/2075","Arun Valley Hydropower Project Com. Ltd.","Thapathali, Kathmandu","87.84027778","27.29833333","Survey"
"Upper Kalangad","Province 7","BAJHANG","Bungal","38.46","Kalanga Gad","152","12/14/2072","12/13/2107","Sani Gad Hydro pvt. Ltd","Sukedhara, Rara Marg, Kathmandu, Po. Box. No. 13607/21399, Phone no. 01-4101652, 01-4101653, Email: info.ukhep@gmail.com","80.91527778","29.60930556","Generation"
"Upper Karnali","Province 6","SURKHET","Barahtal","900.0","Karnali","328","2/5/2065","8/4/2069","GMR, Upper Karnali Hydropower Limited","Chakupat Lalitpur - 10 Phone 01-5526464","81.50416667","28.83611111","Survey"
"Upper Khadam SHP","Province 1","DHANKUTA","Chaubise","0.99","Khadam","0","5/19/2067","0/1/0","Abiral Hydropower Company Pvt. Ltd.","Urlawari-4, Morang Tel: 021-540922, 9742031000","87.4375","26.83944444","Generation"
"Upper Khimti","Province 3","DOLAKHA","Jiri","12.0","Khimti Khola","77","9/3/2069","9/2/2104","Himalaya Urja Bikas Co. Pvt. Ltd.","Balkot-2 Bhaktapur, Phone 016632822","86.34166667","27.6775","Generation"
"Upper Khimti II","Province 3","DOLAKHA","Jiri","7.0","Khimti Khola","131","12/13/2071","12/12/2106","Himalaya Urja Bikash Company Limited","G.P.O. Box: 10429 Ph: 4487794","86.31944444","27.65208333","Generation"
"Upper Khorunga HPP","Province 1","TERHATHUM","Phedap","7.5","Khoranga Khola","168","5/8/2073","11/6/2106","Terhathum Power Company Pvt. Ltd.","Bagbajar, Kathmandu, Po. Box. No. 14130, Phone no 4240661","87.53194444","27.21152778","Generation"
"Upper Khudi","Province 4","LAMJUNG","Marsyangdi","26.0","Khudi","232","2/9/2075","2/8/2110","Super Khudi Hydropower Co.Pvt. Ltd.","P.O.Box 19554, Kathmandu, Phone 01-4434003, 4424644","84.32722222","28.335","Generation"
"Upper Lapche Khola","Province 3","DOLAKHA","Bigu","52.0","Lapche","182","10/21/2073","10/20/2108","Energy Venture Pvt. Ltd.","New Baneswor Kathmandu, GPO Box: 6870, Phone 9851025737, 4115573, 4115900","86.17069444","28.08263889","Generation"
"Upper Machha Khola HEP","Province 4","GORKHA","Dharche","4.55","Machha Khola","927","7/12/2074","7/11/2076","Bikash Hydropower Company Pvt. Ltd.","Balaju-16, Kathmandu, 01-4380505, Bikash Kiran Adhikari 9851057917","84.81583333","28.21569444","Survey"
"upper Madame HPP","Province 4","MANANG","Neshyang","12.3","Madame Khola","968","9/7/2074","9/6/2076","National Hydropower Company Pvt. Ltd.","Anamnagar, Kathmandu, Phone no 4771600","84.16680556","28.4375","Survey"
"Upper Madi","Province 4","KASKI","Madi","25.0","Madi Khola","35","1/27/2067","1/26/2102","Madi Power Pvt Ltd.,","GPO Box 2581, Gorakha Complex Minbhawan, Phone 01-4106507, 4106729, 4106731, Fax 01-4106640","84.0875","28.27958333","Operation"
"Upper Madi 0","Province 4","KASKI","Madi","43.0","Madi","825","2/9/2074","2/8/2076","Annapurna Power Company Pvt. Ltd","Sanepa, Lalitpur, 9851042066","84.10833333","28.39583333","Survey"
"Upper Mai -C","Province 1","ILAM","Maijogmai","6.1","Mai Khola","95","3/21/2070","3/20/2105","Mai Valley Hydropower P.L.,","P.O.Box 24194, Phone 01-5010631, Lalitpur Kathmandu","87.96472222","27.01125","Operation"
"Upper Mai Hydropower Project (Panchakanya Mai Hydropwer limi","Province 1","ILAM","Sandakpur","12.0","Mai Khola","36","4/23/2067","4/22/2102","Mai Valley Hydropower P Ltd.","Lalitpur - 3, Bakhundol , Pulchowk, Lalitpur, POB 24194, Ph 015010631,5010632","87.95416667","27.04055556","Operation"
"Upper Mailun Khola","Province 3","DHADING","Rubi Valley","14.3","Mailung Khola","79","9/20/2069","11/26/2106","Upper Mailung Khola Hydropower Limited.","Baluwatar, Kathmandu, Nepal. Ph: 4436027, Fax: 4419703","85.2","28.11611111","Generation"
"Upper Mailung -A","Province 3","DHADING","Rubi Valley","6.42","Mailung Khola","56","9/11/2068","9/10/2103","Energy Engineering Pvt. Ltd","PO Box 9292,Ph 4915225","85.20833333","28.18541667","Generation"
"Upper Mailung B Hydropower Project","Province 3","RASUWA","Parbati Kunda","7.5","Mailung Khola","752","8/3/2073","8/2/2075","Sanima Hydropower Ltd","Narayanchaur, Naxal, GPO 19737, Kathamndu","85.2","28.14791667","Survey"
"Upper Maiwa HPP","Province 1","TAPLEJUNG","Meringden","15.5","Maiwa","912","6/26/2074","6/25/2076","Jaya Kumar Limbu","Dharan, mob.no. 9852045950, 9812398039","87.535","27.38555556","Survey"
"Upper Mardi Hydropower Project","Province 4","KASKI","Machhapuchchhre","7.0","Mardi","181","10/14/2073","5/31/2108","United Idimardi and R.B. Hydropower Pvt Ltd","Sanepa , Lalitpur Tel: 01-5520254, 52012027","83.88791667","28.38694444","Generation"
"Upper Marsyangdi A","Province 4","LAMJUNG","Dordi","50.0","Marsyangdi","60","12/17/2068","12/16/2103","Sinohydro-Sagarmatha Power Company Pvt Ltd","Sanepa , Lalitpur","84.38402778","28.30486111","Operation"
"Upper Melamchi HEP","Province 3","SINDHUPALCHOK","Panchpokhari Thangpal","4.6","Melamchi","1014","2/16/2075","2/15/2077","Gugeshwori Energy Pvt. Ltd","Bajramarga, Baudhha Kathmandu","85.53333333","28.03041667","Survey"
"Upper Mewa Khola -A HPP","Province 1","TAPLEJUNG","Phaktanglung","28.22","Mewa Khola","878","4/20/2074","4/19/2076","Surya Holding Company Pvt.Ltd.","kathmandu-1, naxal, 9851024262 (Anil Joshi), 01-4002604,4435714","87.62625","27.52527778","Survey"
"Upper Midim Khola SHP","Province 4","LAMJUNG","Marsyangdi","7.5","Midim Khola","720","2/20/2073","2/19/2076","Bhujung Hydro Power Pvt.Ltd.,","Kathmandu-34, Baneshowr, Kathmandu,4480564,9851026587","84.25472222","28.33208333","Survey"
"Upper Modi A","Province 4","KASKI","Machhapuchchhre","42.0","Modi Khola","135","3/4/2072","3/3/2107","Nepal Electricity Authority","Durbarmarga, Kathmandu","83.80736111","28.3675","Generation"
"Upper Modi HPP cascade project","Province 4","KASKI","Annapurna","14.0","Modi Khola","226","12/2/2074","12/1/2109","Nepal Electricity Authority","Kathmandu","83.78486111","28.32736111","Generation"
"Upper Most Iwa Khola HEP","Province 1","PANCHTHAR","Yangwarak","2.5","Iwa","1004","1/26/2075","1/25/2077","Timbung Pokhari Hydro Pvt. Ltd","9842058977, 9816325910","88.00555556","27.32708333","Survey"
"Upper Mudi HEP","Province 4","MYAGDI","Dhaulagiri","12.73","Mudi","896","5/21/2074","5/20/2076","Fresh Water Energy Pvt. Ltd.","Ka. Ma. Na. Pa-30","83.30652778","28.57083333","Survey"
"Upper Myagdi","Province 4","MYAGDI","Raghuganga","20.0","Myagdi Khola","119","12/6/2070","12/5/2105","Hydro Empire P Ltd","Bafal Sundhara, Kathmandu, P.O.Box 9713","83.37638889","28.53777778","Generation"
"Upper Myagdi-I HEP","Province 4","MYAGDI","Raghuganga","80.0","Myagdi Khola","671","8/13/2070","8/12/2075","Upper Myagdi Hydropower Pvt. Ltd","Ka. Ma.Na.Pa-31","83.36527778","28.48888889","Survey"
"Upper Nar Hydropower Project","Province 4","MANANG","Narphu","31.77","Nar","956","8/12/2074","8/11/2076","Universal Power Company P. Ltd","Bluestar Compllex Tripureshor, 01-4101097","84.23472222","28.65694444","Survey"
"Upper Naugad Gad Hydropower Project","Province 7","DARCHULA","Naugad","8.0","Naugad","177","9/14/2073","9/14/2108","Api Power Company Ltd.","Trade Tower, Thapathali, Kathmandu. Phone: 015511033, 015111037, Fax: 015111035","80.63527778","29.73097222","Generation"
"Upper Nyasem A HEP","Province 3","SINDHUPALCHOK","Jugal","7.5","Nyasem Khola","886","5/5/2074","5/4/2076","Sindhu Jwala Hydropower Pvt. Ltd.","Hanumansthan -32, Ktm. Kabita Shrestha 9851010735, 01-4245184","85.85138889","28.02541667","Survey"
"Upper Nyasim Khola","Province 3","SINDHUPALCHOK","Bhotekoshi","43.0","Nyasem Khola","176","8/7/2073","8/6/2108","Sindhujwala Hydropower P. Ltd","Anamnagar, Kathmandu, Phone no. 4245184, 4238575, 9851010735, Email: sindhujwalahydropower@gmail.com","85.82777778","28.00555556","Generation"
"Upper Pikhuwa HPP","Province 1","BHOJPUR","Tyamkemaiyung","2.0","Pikhuwa","751","8/2/2073","8/1/2075","Sumnima Hydropower Company Pvt.Ltd.","Hulaktole Marg ,Kathmandu-15, phone no 9851097087","86.99305556","27.23875","Survey"
"Upper Piluwa 3 HPP","Province 1","TAPLEJUNG","Maiwakhola","4.95","Piluwa Khola","942","7/26/2074","7/25/2076","Mabilung Energy Pvt.Ltd","Kathmandu-34,Sachetanmarg New Baneshower, house no. 162,016922762,9843142092,9851150167,mabilungenergy@gmail.com","87.41416667","27.29805556","Survey"
"Upper Piluwa Khola-2 SHP","Province 1","SANKHUWASABHA","Panchakhapan","4.72","Piluwa Khola","149","9/3/2072","9/2/2107","Menchhiyam Hydropower P Ltd. Itahari,Sunsari,9841521159","PO Box no 8975 EPC 1030 Kathmandu, Phone no 4008602, 9843142092","87.39708333","27.29736111","Generation"
"Upper Piluwa-1","Province 1","SANKHUWASABHA","Chainpur","8.51","Piluwa","903","5/30/2074","5/29/2076","Menchhiyam Hydropower P Ltd.","Lainchaur Kathmandu","87.36861111","27.29138889","Survey"
"Upper Puwa-1","Province 1","PANCHTHAR","Falelung","3.0","Puwa","90","2/6/2070","2/5/2105","Joshi Hydropower Co. P. Ltd","Newbaneswor, KathmanduTel: 01-4115787","87.89166667","27.00513889","Operation"
"Upper Richet Khola SHP","Province 3","DHADING","Rubi Valley","2.0","Richet","692","10/2/2071","10/1/2075","Upper Richet Hydropower Pvt. Ltd.","Lalitpur-1, Kupondole","84.93902778","28.19013889","Survey"
"Upper Rukum Gad HPP","Province 5","RUKUM_E","Putha Uttarganga","4.73","Rukum Gad(Lukum,Thaban,Kuchiba","774","8/27/2073","8/26/2075","Gandaki Energy Limited","Tipureshor. Kathamndu","82.63875","28.58097222","Survey"
"Upper Sagu HPP","Province 3","SINDHUPALCHOK","Bhotekoshi","10.0","Khartal,Kothali(Sagu)","710","9/3/2072","9/2/2075","Sanjay Shrestha","Gongbu, Kathmandu","86.09944444","27.86416667","Survey"
"Upper Sanjen","Province 3","RASUWA","Gosaikunda","14.8","Sanjen","69","5/7/2069","5/6/2104","Sanjen Jalvidhyut Co","Das Tower Lazimpat, Kathmandu, 01-4002049, Fax 4443077","85.28958333","28.22847222","Generation"
"Upper Sankhuwa Khola HEP","Province 1","SANKHUWASABHA","Silichong","24.0","Sankhuwa","1024","3/26/2075","3/25/2077","Happy Energy Pvt. Ltd","Kathmandu","87.04513889","27.54305556","Survey"
"Upper Sardi Hydropower Project","Province 4","KASKI","Madi","3.3","Sardi, kutmi","810","1/22/2074","1/21/2076","Mandakini Hydropower Ltd","316 Baburam Acharya Sadak, Sinamangal Kathamndu. Ph No. 4461574, email: mandakini.hydropower@gmail.com","84.02486111","28.36305556","Survey"
"Upper Seti Hydropower Project","Province 4","KASKI","Machhapuchchhre","20.0","Seti Khola","725","3/10/2073","3/9/2075","Upper Seti Hydro Pvt.Ltd.","Anamnaga-32,Kathmandu, PO Box 12662,9851147724","83.99041667","28.42305556","Survey"
"Upper Seti-1 HEP","Province 4","KASKI","Machhapuchchhre","13.0","Seti Khola","831","2/10/2074","2/9/2076","Shrestha Energy Solution Pvt. Ltd","Budanilkantha-4, Kathmandu,9851026329","83.94861111","28.29416667","Survey"
"Upper Siddhi khola HEP","Province 1","ILAM","Suryodaya","3.86","Siddhi Khola","750","8/1/2073","7/30/2075","Birta Power Pvt.Ltd.","129/40212 Kathmandu-35,pepsi cola town planning.","88.12111111","26.85152778","Survey"
"Upper Simbuwa Khola HPP","Province 1","TAPLEJUNG","Phaktanglung","46.81","Simbuwa Khola","891","5/16/2074","5/15/2076","Simbuwa Hydropower Pvt.ltd.","Durbar Marg, Kathmandu, Nepal","87.88680556","27.51138889","Survey"
"Upper Sit Khola SHP","Province 5","ARGHAKHANCHI","Sitganga","0.905","Sit","0","2/4/2071","0/1/0","Alliance Energy Solutions Pvt Ltd","GPO Box: 8957, Kathmandu, Tel: 9841476737","83.05111111","27.85833333","Survey"
"Upper Siwa Khola HPP","Province 1","TAPLEJUNG","Mikwakhola","8.18","Siwa Khola","879","4/23/2074","4/22/2076","BLAV Energy Pvt.Ltd.","naxsal,kathmandu","87.57597222","27.51555556","Survey"
"Upper Solu Khola HPP","Province 1","SOLUKHUMBU","Solududhakunda","18.0","Solu Khola","169","5/16/2073","11/16/2106","Beni Hydropower Project","0","86.58138889","27.535","Generation"
"Upper Sunigad HEP","Province 7","BAJHANG","Talkot","8.42","Suni Gad","906","6/1/2074","5/30/2076","Omega EnergyDeveloper Pvt. Ltd","Kathmandu-4, Chandol, 01-4436184","81.21875","29.68055556","Survey"
"Upper Suri Khola HPP","Province 3","DOLAKHA","Gaurishankar","7.0","Hulak,Kolung","698","11/11/2071","11/10/2075","Makar Jitumaya Hudropower Pvt.Ltd.","Kathmandu-11,Tripureswor,","86.26805556","27.73333333","Survey"
